,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSMUSG00000082516,272.2315618,0.626561161,0.159982649,3.916431976,8.99E-05,0.009134834,NA
ENSMUSG00000032978,11733.01892,0.529596761,0.135283134,3.914728642,9.05E-05,0.009134834,Guca2b
ENSMUSG00000049940,3502.441224,0.410027227,0.104882169,3.909408362,9.25E-05,0.009267076,Pgrmc2
ENSMUSG00000108700,4203.203968,0.357852905,0.091741468,3.900666881,9.59E-05,0.009535396,Gm7482
ENSMUSG00000118859,1403.231428,-0.970669338,0.249095726,-3.896772348,9.75E-05,0.009617118,Gm26316
ENSMUSG00000026526,893.9519768,0.379420776,0.097580321,3.888291963,0.000100952,0.009754813,Fh1
ENSMUSG00000021245,112.524128,-0.736586407,0.18944161,-3.888197561,0.000100991,0.009754813,Mlh3
ENSMUSG00000108496,687.0557205,0.698540069,0.179701374,3.887227205,0.000101396,0.009754813,NA
ENSMUSG00000058492,5847.825127,0.440991786,0.113545162,3.883844802,0.000102818,0.009754813,NA
ENSMUSG00000002332,3348.013422,0.671751702,0.172966058,3.883719798,0.00010287,0.009754813,Dhrs1
ENSMUSG00000032294,1082.270672,0.390299275,0.100524876,3.882613852,0.00010334,0.009754813,Pkm
ENSMUSG00000031445,288.9470783,0.613189094,0.158054388,3.87960816,0.000104625,0.009805592,Proz
ENSMUSG00000036908,270.0307191,0.676647998,0.174569901,3.876086276,0.00010615,0.009870736,Unc93b1
ENSMUSG00000040713,2827.231551,-0.503029089,0.129829235,-3.874544045,0.000106825,0.009870736,Creg1
ENSMUSG00000033819,276.2608184,0.496274234,0.128312769,3.867691724,0.00010987,0.010058406,Ppp1r16a
ENSMUSG00000094530,164.3635605,0.825884516,0.213597621,3.866543614,0.000110389,0.010058406,NA
ENSMUSG00000064772,13.11610376,-1.537527273,0.398327611,-3.859956558,0.000113407,NA,Gm25202
ENSMUSG00000052565,113.7635932,-0.760659487,0.197638871,-3.848734216,0.00011873,0.010743813,H1f3
ENSMUSG00000041920,4129.074108,0.405333279,0.105365842,3.846913498,0.000119615,0.0107498,Slc16a6
ENSMUSG00000082241,285.54967,0.690764018,0.180133853,3.834726277,0.000125704,0.011220169,NA
ENSMUSG00000025903,1638.828023,0.268356175,0.070157007,3.825080123,0.00013073,0.011589882,Lypla1
ENSMUSG00000028603,7712.967724,0.400018314,0.105108047,3.805781996,0.000141357,0.012447941,Scp2
ENSMUSG00000023055,116.593529,-1.130883926,0.297855508,-3.796753447,0.000146603,0.012823894,Calcoco1
ENSMUSG00000034919,854.1329997,0.349766386,0.092228023,3.792409013,0.000149193,0.012928883,Ttc22
ENSMUSG00000097668,32.03753937,1.83190832,0.483360248,3.7899441,0.000150681,0.012928883,NA
ENSMUSG00000029322,14192.45105,0.662590491,0.174834541,3.789814572,0.00015076,0.012928883,Plac8
ENSMUSG00000017664,1435.091606,0.306616445,0.080946794,3.787876324,0.00015194,0.012945523,Slc35c2
ENSMUSG00000022757,6328.831802,0.504093015,0.133322002,3.781018933,0.000156188,0.013206317,Tfg
ENSMUSG00000046352,459.1668987,0.546725592,0.144708375,3.778119901,0.000158017,0.013206317,Gjb2
ENSMUSG00000033624,105.3729067,-0.866485303,0.229412819,-3.776969868,0.000158748,0.013206317,Pdpr
ENSMUSG00000037455,258.9331595,0.715937775,0.189575474,3.776531636,0.000159027,0.013206317,Slc18b1
ENSMUSG00000060935,375.4317594,0.457689677,0.121527026,3.766155494,0.000165781,0.013680546,Tmem263
ENSMUSG00000039886,465.4085127,0.479743021,0.12749676,3.762785977,0.000168031,0.013779592,Tmem120a
ENSMUSG00000100481,35.78664128,-1.304803787,0.347428816,-3.755600361,0.000172926,0.014056839,Gm7114
ENSMUSG00000074357,75.29345884,0.743648158,0.198058341,3.754692448,0.000173554,0.014056839,NA
ENSMUSG00000079516,164.7059158,4.074885981,1.086613335,3.750079123,0.000176779,0.01423015,Reg3a
ENSMUSG00000027534,242.4394255,-0.433772375,0.115922567,-3.741914866,0.000182623,0.014610985,Snx16
ENSMUSG00000024846,2581.019455,0.416831715,0.111716864,3.73114406,0.000190612,0.015157712,Cst6
ENSMUSG00000111296,179.2870319,0.903572413,0.242433787,3.727089458,0.000193704,0.015310762,2010001M07Rik
ENSMUSG00000089646,1567.810734,0.615116632,0.165120998,3.725247786,0.000195123,0.015330628,NA
ENSMUSG00000022812,1845.62502,-0.506492706,0.136034671,-3.723261889,0.000196665,0.015359797,Gsk3b
ENSMUSG00000020205,230.1846185,-0.628456805,0.168971457,-3.71930749,0.00019977,0.01547665,Phlda1
ENSMUSG00000015536,1294.858745,0.323094847,0.086891767,3.718359734,0.000200521,0.01547665,Mocs2
ENSMUSG00000118839,246.4066057,-0.909822187,0.244903243,-3.715027105,0.000203182,0.015554665,Gm25360
ENSMUSG00000022793,141.9110569,0.634484852,0.170829913,3.714132027,0.000203902,0.015554665,B4galt4
ENSMUSG00000016946,774.9773343,0.558219223,0.150562011,3.707570188,0.000209257,0.015870906,Kctd5
ENSMUSG00000091785,238.9224688,0.732130052,0.197720527,3.702853038,0.000213188,0.016020813,NA
ENSMUSG00000076928,186.7338953,1.190342615,0.321551203,3.701875791,0.000214011,0.016020813,NA
ENSMUSG00000047907,106.3839149,-0.641141697,0.173242763,-3.700828162,0.000214897,0.016020813,Tshz2
ENSMUSG00000111937,293.2837624,0.704761288,0.190616852,3.69726644,0.000217934,0.016021962,Gm46203
ENSMUSG00000026317,820.8844018,-0.476629706,0.128916569,-3.697195088,0.000217995,0.016021962,Cln8
ENSMUSG00000067219,477.1914461,-0.571561814,0.154621623,-3.696519293,0.000218576,0.016021962,Nipal1
ENSMUSG00000046876,684.7107984,-0.542655238,0.146985292,-3.691901627,0.000222584,0.016225105,Atxn1
ENSMUSG00000028345,35.4067857,-1.027872112,0.27884712,-3.686149286,0.000227673,0.016504393,Tex10
ENSMUSG00000044681,82.35777544,1.185920014,0.322507162,3.6771897,0.000235818,0.017000899,Cnpy1
ENSMUSG00000118734,80.03911256,-1.380665782,0.376098172,-3.671024975,0.00024158,0.017321135,Gm25313
ENSMUSG00000037754,40.25877229,1.631911333,0.44482226,3.668681812,0.000243804,0.017322607,Ppp1r16b
ENSMUSG00000100131,27929.75964,-0.602354902,0.164208844,-3.668224481,0.000244241,0.017322607,NA
ENSMUSG00000034751,205.6358685,-0.511994772,0.139659821,-3.666013383,0.000246361,0.017358909,Mast4
ENSMUSG00000068243,1551.56478,0.593812328,0.162082004,3.663653665,0.000248643,0.017358909,NA
ENSMUSG00000066389,337.4703027,0.699498141,0.190999996,3.662293999,0.000249967,0.017358909,NA
ENSMUSG00000021576,2434.13159,0.357046916,0.097494817,3.66221435,0.000250044,0.017358909,Pdcd6
ENSMUSG00000032038,1744.221241,0.686518089,0.188054686,3.650630058,0.000261598,0.017988831,St3gal4
ENSMUSG00000040680,26.97442789,1.706229662,0.467662897,3.648417853,0.00026386,0.017988831,Kremen2
ENSMUSG00000052595,237.0912145,-0.609747284,0.16712914,-3.648360084,0.00026392,0.017988831,A1cf
ENSMUSG00000118698,56.41085112,-1.567391725,0.429693589,-3.647696322,0.000264602,0.017988831,Gm25890
ENSMUSG00000060336,40.37498086,-0.905408885,0.248348064,-3.645725562,0.000266638,0.018033828,Zfp937
ENSMUSG00000102059,76.97461936,0.969184092,0.266426164,3.637721157,0.000275061,0.018361319,Gm20257
ENSMUSG00000118936,56.28402134,-1.559662912,0.428760322,-3.637610178,0.000275179,0.018361319,Gm22614
ENSMUSG00000014351,507.4330923,0.688131724,0.189212415,3.636821203,0.000276023,0.018361319,Gip
ENSMUSG00000031355,37.37863888,1.341721878,0.369026825,3.63583834,0.000277078,0.018361319,Arhgap6
ENSMUSG00000032727,310.1889222,-0.611810188,0.168384279,-3.63341633,0.000279693,0.018441478,Mier3
ENSMUSG00000119563,45.55081059,-1.582879272,0.43715321,-3.620879902,0.000293603,0.019261811,Gm24136
ENSMUSG00000025969,45.35025296,-1.203952677,0.332795035,-3.61770024,0.000297232,0.019402914,Nrp2
ENSMUSG00000058952,651.0783966,0.817049647,0.226117161,3.613390696,0.000302219,0.01961358,Cfi
ENSMUSG00000025466,632.8817297,0.274884082,0.076102816,3.612009316,0.000303834,0.01961358,Fuom
ENSMUSG00000084368,171.3353839,0.688119162,0.19056691,3.610905801,0.000305129,0.01961358,NA
ENSMUSG00000006456,264.3898524,0.45084351,0.124933119,3.608678892,0.00030776,0.01961358,Rbm14
ENSMUSG00000024378,1484.855004,-0.287174508,0.079582071,-3.608532738,0.000307934,0.01961358,Stard4
ENSMUSG00000046620,1001.846792,0.458769487,0.127451911,3.599549683,0.000318769,0.020205625,Rps11-ps4
ENSMUSG00000017167,64.35503587,1.306422585,0.363392587,3.595072191,0.000324302,0.020457509,Cntnap1
ENSMUSG00000027580,827.3905492,0.429435332,0.119739695,3.586407428,0.000335265,0.020983165,Helz2
ENSMUSG00000040433,707.1799308,-0.310930059,0.086737152,-3.58473909,0.000337415,0.020983165,Zbtb38
ENSMUSG00000032097,1229.117649,-0.27410842,0.076465653,-3.584726058,0.000337432,0.020983165,Ddx6
ENSMUSG00000045967,7.276139614,5.429965709,1.51692589,3.57958536,0.00034414,NA,Gpr158
ENSMUSG00000050395,31.48894182,-0.932244265,0.260944277,-3.572579839,0.000353482,0.0217829,Tnfsf15
ENSMUSG00000025076,845.4949095,0.649619951,0.181902491,3.571253729,0.000355277,0.0217829,Casp7
ENSMUSG00000038217,606.2074264,0.684421239,0.191662118,3.570978169,0.000355651,0.0217829,Tlcd2
ENSMUSG00000030122,557.6259147,-0.487782833,0.136632504,-3.570035074,0.000356933,0.0217829,Ptms
ENSMUSG00000090516,11925.404,0.30179591,0.084646237,3.565378939,0.000363331,0.02199118,Rps11-ps1
ENSMUSG00000003528,1563.848031,0.272852756,0.076554599,3.564158933,0.000365025,0.02199118,Slc25a1
ENSMUSG00000021846,47.56538236,-0.827185936,0.232100826,-3.563907765,0.000365374,0.02199118,Peli2
ENSMUSG00000021357,122.6518738,0.604441889,0.169715738,3.561495799,0.000368748,0.021993007,Exoc2
ENSMUSG00000027997,1069.703323,0.513185414,0.144097505,3.56137613,0.000368916,0.021993007,Casp6
ENSMUSG00000001436,437.3271927,0.450565575,0.126570928,3.559787252,0.000371155,0.021993007,Slc19a1
ENSMUSG00000074129,660.8538014,0.449437261,0.126280848,3.559029467,0.000372228,0.021993007,Rpl13a
ENSMUSG00000041737,1285.472642,0.631009418,0.177374574,3.557496445,0.000374406,0.021993007,Tmem45b
ENSMUSG00000108331,91.01621606,-0.846791733,0.238125778,-3.556069153,0.000376445,0.021993007,Gm5322
ENSMUSG00000062896,1814.885716,0.48668374,0.13687864,3.555585743,0.000377138,0.021993007,NA
ENSMUSG00000027506,4128.964378,0.26140869,0.073554276,3.553956401,0.000379482,0.022031791,Tpd52
ENSMUSG00000021609,84.46905929,0.807272625,0.22723533,3.552584112,0.000381467,0.022049467,Slc6a3
ENSMUSG00000064356,2710.44093,-0.529932054,0.149357914,-3.548068122,0.000388068,0.022332623,ATP8
ENSMUSG00000092505,321.8772619,0.630212428,0.177823388,3.544035655,0.000394052,0.022577972,NA
ENSMUSG00000022040,2842.357088,0.396033253,0.111792334,3.542579701,0.000396234,0.022592867,Ephx2
ENSMUSG00000015889,2160.876919,0.222493253,0.062846596,3.5402594,0.000399734,0.022592867,Lta4h
ENSMUSG00000021585,599.0647493,-0.42490395,0.120050207,-3.539385414,0.00040106,0.022592867,Cast
ENSMUSG00000050471,549.5053275,0.473889971,0.133893944,3.539293544,0.000401199,0.022592867,Fam118b
ENSMUSG00000083288,20.15683713,-1.08624153,0.306984821,-3.538420977,0.000402528,NA,NA
ENSMUSG00000091695,397.8547678,0.611267626,0.172847776,3.536450628,0.000405542,0.022739831,NA
ENSMUSG00000082780,1462.122361,0.426515358,0.120659126,3.534878552,0.000407963,0.022778202,Rps11-ps5
ENSMUSG00000037661,101.5351849,0.975328738,0.276057793,3.533059974,0.000410779,0.022838283,Gpr160
ENSMUSG00000089791,5.318188265,-2.018903758,0.571676403,-3.531549926,0.000413132,NA,NA
ENSMUSG00000081643,285.3372604,0.533672619,0.151302059,3.527199975,0.000419979,0.023181856,NA
ENSMUSG00000036093,1401.071998,0.45296742,0.128433017,3.526876744,0.000420492,0.023181856,Arl5a
ENSMUSG00000031782,524.9405094,0.420612257,0.119318735,3.525114964,0.000423299,0.02323894,Coq9
ENSMUSG00000032413,728.3091141,-0.423737377,0.120283811,-3.522813036,0.000426992,0.023344034,Rasa2
ENSMUSG00000059355,385.0179078,-0.421836806,0.119799744,-3.521182883,0.000429626,0.023390562,Wdr83os
ENSMUSG00000036959,210.6660458,-0.52131178,0.148220498,-3.51713687,0.000436229,0.023591365,Bcorl1
ENSMUSG00000023262,246.9885507,0.490589377,0.139521187,3.516235694,0.000437712,0.023591365,Acy1
ENSMUSG00000060716,49.56966312,-0.968310331,0.275429936,-3.51563212,0.000438708,0.023591365,Plekhh1
ENSMUSG00000054422,32784.52824,0.739159619,0.210350514,3.513942532,0.000441508,0.023613283,Fabp1
ENSMUSG00000093686,1867.230692,0.501830172,0.142840631,3.51321726,0.000442715,0.023613283,Gm4705
ENSMUSG00000103933,650.0581264,0.563289784,0.160765985,3.503787094,0.000458692,0.024366384,NA
